,compound,neg,neu,pos
0,0.4215,0.0,0.872,0.128
1,0.0,0.0,1.0,0.0
2,-0.3134,0.094,0.906,0.0
3,-0.4588,0.176,0.824,0.0
4,-0.3134,0.094,0.906,0.0
5,0.5859,0.0,0.808,0.192
6,0.4019,0.0,0.856,0.144
7,0.0,0.0,1.0,0.0
8,-0.3134,0.094,0.906,0.0
9,0.875,0.0,0.607,0.393
10,0.0,0.0,1.0,0.0
11,0.5743,0.0,0.843,0.157
12,0.5743,0.0,0.843,0.157
13,0.5743,0.0,0.843,0.157
14,0.5659,0.0,0.794,0.206
15,0.0,0.0,1.0,0.0
16,0.1531,0.206,0.532,0.262
17,0.0,0.0,1.0,0.0
18,0.0,0.0,1.0,0.0
19,0.5743,0.0,0.843,0.157
20,0.5743,0.0,0.843,0.157
21,-0.3134,0.094,0.906,0.0
22,0.0,0.0,1.0,0.0
23,0.5106,0.0,0.677,0.323
24,-0.3134,0.094,0.906,0.0
25,0.0,0.0,1.0,0.0
26,0.0,0.0,1.0,0.0
27,0.875,0.0,0.607,0.393
28,0.5743,0.0,0.843,0.157
29,0.5743,0.0,0.843,0.157
30,0.0,0.0,1.0,0.0
31,-0.4019,0.119,0.881,0.0
32,0.5743,0.0,0.843,0.157
33,0.0,0.0,1.0,0.0
34,0.5743,0.0,0.843,0.157
35,0.875,0.0,0.607,0.393
36,0.5743,0.0,0.843,0.157
37,-0.3134,0.094,0.906,0.0
38,0.5743,0.0,0.843,0.157
39,-0.3134,0.094,0.906,0.0
40,0.5743,0.0,0.843,0.157
41,0.5743,0.0,0.843,0.157
42,-0.4939,0.181,0.819,0.0
43,0.875,0.0,0.607,0.393
44,-0.4939,0.198,0.802,0.0
45,0.5743,0.0,0.843,0.157
46,0.875,0.0,0.607,0.393
47,-0.6124,0.16,0.84,0.0
48,0.5743,0.0,0.843,0.157
49,0.5743,0.0,0.843,0.157
50,0.264,0.108,0.733,0.159
51,0.5743,0.0,0.843,0.157
52,0.5743,0.0,0.843,0.157
53,0.5743,0.0,0.843,0.157
54,-0.5267,0.306,0.694,0.0
55,0.0,0.0,1.0,0.0
56,-0.4466,0.118,0.882,0.0
57,0.0,0.0,1.0,0.0
58,0.875,0.0,0.607,0.393
59,0.5743,0.0,0.843,0.157
60,-0.2755,0.091,0.909,0.0
61,-0.3182,0.161,0.738,0.101
62,0.0,0.0,1.0,0.0
63,0.5659,0.0,0.794,0.206
64,0.0,0.0,1.0,0.0
65,0.5743,0.0,0.843,0.157
66,0.7783,0.0,0.775,0.225
67,0.875,0.0,0.607,0.393
68,0.0,0.0,1.0,0.0
69,0.264,0.108,0.733,0.159
70,0.0,0.0,1.0,0.0
71,0.6369,0.0,0.488,0.512
72,0.5743,0.0,0.843,0.157
73,0.8313,0.062,0.621,0.317
74,0.5743,0.0,0.843,0.157
75,-0.3134,0.094,0.906,0.0
76,0.0772,0.0,0.894,0.106
77,0.2263,0.0,0.894,0.106
78,0.5267,0.118,0.643,0.239
79,0.0,0.0,1.0,0.0
80,0.875,0.0,0.607,0.393
81,0.264,0.108,0.733,0.159
82,0.5267,0.127,0.615,0.258
83,0.8126,0.0,0.575,0.425
84,-0.3134,0.094,0.906,0.0
85,0.4728,0.0,0.781,0.219
86,-0.25,0.21,0.58,0.21
87,-0.3134,0.094,0.906,0.0
88,-0.4019,0.163,0.837,0.0
89,-0.3134,0.094,0.906,0.0
90,0.5743,0.0,0.843,0.157
91,0.5743,0.0,0.843,0.157
92,0.4215,0.0,0.872,0.128
93,0.3818,0.0,0.776,0.224
94,-0.3134,0.094,0.906,0.0
95,0.0,0.0,1.0,0.0
96,-0.3134,0.094,0.906,0.0
97,0.5743,0.0,0.843,0.157
98,0.4215,0.0,0.872,0.128
99,0.0,0.0,1.0,0.0
