,compound,neg,neu,pos
0,0.0,0.0,1.0,0.0
1,0.0,0.0,1.0,0.0
2,0.0,0.0,1.0,0.0
3,0.0,0.0,1.0,0.0
4,0.0,0.0,1.0,0.0
5,0.5095,0.0,0.77,0.23
6,0.0,0.0,1.0,0.0
7,0.0,0.0,1.0,0.0
8,0.6591,0.102,0.646,0.252
9,0.0,0.0,1.0,0.0
10,0.0,0.0,1.0,0.0
11,-0.3818,0.12,0.88,0.0
12,0.6369,0.0,0.724,0.276
13,0.746,0.0,0.652,0.348
14,0.3182,0.0,0.813,0.187
15,-0.6901,0.251,0.749,0.0
16,0.0,0.0,1.0,0.0
17,0.3818,0.0,0.755,0.245
18,0.0,0.0,1.0,0.0
19,0.0,0.0,1.0,0.0
20,0.0,0.0,1.0,0.0
21,0.0,0.0,1.0,0.0
22,0.6908,0.0,0.678,0.322
23,0.0,0.0,1.0,0.0
24,0.0,0.0,1.0,0.0
25,0.296,0.0,0.833,0.167
26,0.0,0.0,1.0,0.0
27,0.5994,0.0,0.738,0.262
28,0.0,0.0,1.0,0.0
29,0.0,0.0,1.0,0.0
30,0.0,0.0,1.0,0.0
31,0.5719,0.0,0.73,0.27
32,0.3612,0.0,0.783,0.217
33,0.0,0.0,1.0,0.0
34,-0.296,0.167,0.833,0.0
35,-0.7845,0.277,0.723,0.0
36,0.0,0.0,1.0,0.0
37,0.5106,0.0,0.732,0.268
38,0.6369,0.0,0.741,0.259
39,-0.6792,0.444,0.556,0.0
40,0.5994,0.0,0.741,0.259
41,0.3612,0.0,0.865,0.135
42,-0.3818,0.206,0.794,0.0
43,0.0,0.0,1.0,0.0
44,0.0,0.0,1.0,0.0
45,-0.4939,0.198,0.802,0.0
46,0.0,0.0,1.0,0.0
47,0.5719,0.0,0.684,0.316
48,0.5994,0.0,0.606,0.394
49,0.0,0.0,1.0,0.0
