,compound,neg,neu,pos
0,0.0,0.0,1.0,0.0
1,0.0,0.0,1.0,0.0
2,-0.6705,0.176,0.824,0.0
3,0.3182,0.0,0.85,0.15
4,0.0,0.0,1.0,0.0
5,0.0,0.134,0.733,0.134
6,0.0,0.0,1.0,0.0
7,0.0,0.0,1.0,0.0
8,0.0,0.0,1.0,0.0
9,-0.34,0.21,0.664,0.126
10,0.0,0.0,1.0,0.0
11,0.6662,0.0,0.777,0.223
12,-0.7034,0.232,0.768,0.0
13,0.0,0.0,1.0,0.0
14,-0.2023,0.409,0.303,0.288
15,0.0,0.0,1.0,0.0
16,-0.4019,0.127,0.816,0.057
17,-0.6705,0.176,0.824,0.0
18,0.0,0.0,1.0,0.0
19,-0.4753,0.185,0.815,0.0
20,0.3612,0.0,0.857,0.143
21,0.7269,0.0,0.697,0.303
22,-0.6705,0.176,0.824,0.0
23,0.0,0.0,1.0,0.0
24,-0.296,0.18,0.82,0.0
25,-0.826,0.46,0.54,0.0
26,0.0,0.0,1.0,0.0
27,-0.4019,0.127,0.816,0.057
28,0.5106,0.0,0.858,0.142
29,-0.4939,0.144,0.856,0.0
30,0.0,0.0,1.0,0.0
31,-0.34,0.21,0.664,0.126
32,0.0,0.0,1.0,0.0
33,0.0,0.0,1.0,0.0
34,-0.3612,0.102,0.898,0.0
35,0.0,0.0,1.0,0.0
36,0.0,0.0,1.0,0.0
37,0.0,0.0,1.0,0.0
38,0.7579,0.0,0.723,0.277
39,0.0,0.0,1.0,0.0
40,0.2144,0.0,0.866,0.134
41,0.0,0.0,1.0,0.0
42,0.0,0.0,1.0,0.0
43,-0.0516,0.107,0.793,0.1
44,-0.34,0.21,0.664,0.126
45,-0.34,0.21,0.664,0.126
46,0.0,0.0,1.0,0.0
47,-0.34,0.21,0.664,0.126
48,0.0,0.0,1.0,0.0
49,0.0,0.0,1.0,0.0
50,-0.6124,0.208,0.792,0.0
51,0.0,0.0,1.0,0.0
52,0.5106,0.0,0.602,0.398
53,0.0,0.0,1.0,0.0
54,0.0,0.0,1.0,0.0
55,0.0,0.0,1.0,0.0
56,0.743,0.0,0.704,0.296
57,-0.6705,0.176,0.824,0.0
58,0.0,0.0,1.0,0.0
59,-0.5473,0.181,0.819,0.0
60,-0.5904,0.324,0.676,0.0
61,0.0,0.0,1.0,0.0
62,0.0,0.0,1.0,0.0
63,0.0,0.0,1.0,0.0
64,0.3612,0.0,0.865,0.135
65,0.0,0.0,1.0,0.0
66,-0.6369,0.321,0.679,0.0
67,0.7399,0.083,0.638,0.28
68,0.0,0.0,1.0,0.0
69,0.4215,0.0,0.781,0.219
70,-0.4019,0.127,0.816,0.057
71,-0.34,0.21,0.664,0.126
72,-0.6705,0.176,0.824,0.0
73,-0.6705,0.176,0.824,0.0
74,0.0,0.0,1.0,0.0
75,0.0,0.0,1.0,0.0
76,0.1027,0.121,0.737,0.142
77,0.0,0.0,1.0,0.0
78,-0.5719,0.156,0.844,0.0
79,0.0,0.0,1.0,0.0
80,0.0,0.0,1.0,0.0
81,0.0,0.0,1.0,0.0
82,-0.34,0.21,0.664,0.126
83,0.0,0.0,1.0,0.0
84,0.0,0.0,1.0,0.0
85,0.0,0.0,1.0,0.0
86,0.0,0.0,1.0,0.0
87,0.0,0.0,1.0,0.0
88,-0.34,0.21,0.664,0.126
89,-0.8481,0.389,0.611,0.0
90,-0.7351,0.341,0.659,0.0
91,-0.5574,0.375,0.625,0.0
92,0.807,0.0,0.641,0.359
93,0.0,0.0,1.0,0.0
94,-0.34,0.21,0.664,0.126
95,0.4329,0.0,0.875,0.125
96,-0.3182,0.434,0.566,0.0
97,0.0,0.0,1.0,0.0
98,0.1027,0.338,0.27,0.392
99,0.0,0.0,1.0,0.0
