,compound,neg,neu,pos,account,tweets_ago
0,0.5743,0.0,0.843,0.157,@BBC,0
1,0.5743,0.0,0.843,0.157,@BBC,1
2,-0.3134,0.094,0.906,0.0,@BBC,2
3,-0.3134,0.094,0.906,0.0,@BBC,3
4,0.0,0.0,1.0,0.0,@BBC,4
5,0.5743,0.0,0.843,0.157,@BBC,5
6,0.875,0.0,0.607,0.393,@BBC,6
7,0.0,0.0,1.0,0.0,@BBC,7
8,0.0,0.0,1.0,0.0,@BBC,8
9,0.0,0.0,1.0,0.0,@BBC,9
10,0.0,0.0,1.0,0.0,@BBC,10
11,0.4939,0.0,0.802,0.198,@BBC,11
12,-0.3134,0.094,0.906,0.0,@BBC,12
13,-0.3134,0.094,0.906,0.0,@BBC,13
14,0.0,0.0,1.0,0.0,@BBC,14
15,0.5743,0.0,0.843,0.157,@BBC,15
16,0.0,0.0,1.0,0.0,@BBC,16
17,-0.4585,0.187,0.813,0.0,@BBC,17
18,0.3818,0.085,0.763,0.153,@BBC,18
19,0.0,0.0,1.0,0.0,@BBC,19
20,0.0,0.0,1.0,0.0,@BBC,20
21,0.4215,0.0,0.872,0.128,@BBC,21
22,0.0,0.0,1.0,0.0,@BBC,22
23,0.875,0.0,0.607,0.393,@BBC,23
24,-0.3134,0.094,0.906,0.0,@BBC,24
25,0.5743,0.0,0.843,0.157,@BBC,25
26,0.0,0.0,1.0,0.0,@BBC,26
27,0.0,0.0,1.0,0.0,@BBC,27
28,-0.6597,0.253,0.747,0.0,@BBC,28
29,0.875,0.0,0.607,0.393,@BBC,29
30,0.0,0.0,1.0,0.0,@BBC,30
31,0.0,0.0,1.0,0.0,@BBC,31
32,0.0,0.0,1.0,0.0,@BBC,32
33,0.0,0.0,1.0,0.0,@BBC,33
34,-0.3134,0.094,0.906,0.0,@BBC,34
35,0.0,0.0,1.0,0.0,@BBC,35
36,0.0,0.0,1.0,0.0,@BBC,36
37,0.4019,0.0,0.856,0.144,@BBC,37
38,0.0,0.0,1.0,0.0,@BBC,38
39,0.0,0.0,1.0,0.0,@BBC,39
40,0.0,0.0,1.0,0.0,@BBC,40
41,0.0,0.0,1.0,0.0,@BBC,41
42,-0.7579,0.419,0.581,0.0,@BBC,42
43,0.25,0.099,0.73,0.172,@BBC,43
44,0.6249,0.0,0.837,0.163,@BBC,44
45,0.0,0.0,1.0,0.0,@BBC,45
46,-0.1531,0.155,0.714,0.131,@BBC,46
47,0.25,0.106,0.709,0.185,@BBC,47
48,0.0,0.0,1.0,0.0,@BBC,48
49,0.0,0.0,1.0,0.0,@BBC,49
50,0.0,0.0,1.0,0.0,@BBC,50
51,-0.25,0.111,0.889,0.0,@BBC,51
52,0.0,0.0,1.0,0.0,@BBC,52
53,-0.3134,0.094,0.906,0.0,@BBC,53
54,0.0,0.0,1.0,0.0,@BBC,54
55,0.0,0.0,1.0,0.0,@BBC,55
56,0.875,0.0,0.607,0.393,@BBC,56
57,0.0,0.0,1.0,0.0,@BBC,57
58,0.5994,0.0,0.811,0.189,@BBC,58
59,0.0,0.0,1.0,0.0,@BBC,59
60,0.4753,0.0,0.829,0.171,@BBC,60
61,0.4215,0.0,0.872,0.128,@BBC,61
62,-0.3134,0.094,0.906,0.0,@BBC,62
63,0.0,0.0,1.0,0.0,@BBC,63
64,0.0,0.0,1.0,0.0,@BBC,64
65,-0.3134,0.094,0.906,0.0,@BBC,65
66,0.0,0.0,1.0,0.0,@BBC,66
67,0.0,0.0,1.0,0.0,@BBC,67
68,0.0,0.0,1.0,0.0,@BBC,68
69,0.0,0.0,1.0,0.0,@BBC,69
70,0.0,0.0,1.0,0.0,@BBC,70
71,0.0,0.0,1.0,0.0,@BBC,71
72,0.5743,0.0,0.843,0.157,@BBC,72
73,0.5743,0.0,0.843,0.157,@BBC,73
74,-0.3134,0.094,0.906,0.0,@BBC,74
75,0.0,0.0,1.0,0.0,@BBC,75
76,0.5743,0.0,0.843,0.157,@BBC,76
77,0.875,0.0,0.607,0.393,@BBC,77
78,0.0,0.0,1.0,0.0,@BBC,78
79,0.0,0.0,1.0,0.0,@BBC,79
80,0.0644,0.103,0.784,0.113,@BBC,80
81,0.34,0.0,0.833,0.167,@BBC,81
82,0.0,0.0,1.0,0.0,@BBC,82
83,0.0,0.0,1.0,0.0,@BBC,83
84,0.4199,0.0,0.834,0.166,@BBC,84
85,0.5743,0.0,0.843,0.157,@BBC,85
86,0.0,0.0,1.0,0.0,@BBC,86
87,0.0,0.0,1.0,0.0,@BBC,87
88,0.4019,0.0,0.856,0.144,@BBC,88
89,-0.4019,0.213,0.787,0.0,@BBC,89
90,0.0,0.0,1.0,0.0,@BBC,90
91,0.0,0.0,1.0,0.0,@BBC,91
92,0.0,0.0,1.0,0.0,@BBC,92
93,-0.3134,0.094,0.906,0.0,@BBC,93
94,0.0,0.0,1.0,0.0,@BBC,94
95,0.5719,0.0,0.802,0.198,@BBC,95
96,0.705,0.0,0.672,0.328,@BBC,96
97,0.0,0.0,1.0,0.0,@BBC,97
98,0.0,0.0,1.0,0.0,@BBC,98
99,0.875,0.0,0.607,0.393,@BBC,99
0,-0.4588,0.13,0.87,0.0,@CBS,0
1,-0.5147,0.217,0.783,0.0,@CBS,1
2,0.0,0.0,1.0,0.0,@CBS,2
3,0.0,0.0,1.0,0.0,@CBS,3
4,0.0,0.0,1.0,0.0,@CBS,4
5,-0.6597,0.188,0.812,0.0,@CBS,5
6,-0.5994,0.214,0.786,0.0,@CBS,6
7,-0.1027,0.06,0.94,0.0,@CBS,7
8,0.7256,0.0,0.711,0.289,@CBS,8
9,-0.4926,0.127,0.873,0.0,@CBS,9
10,0.0,0.0,1.0,0.0,@CBS,10
11,0.0,0.0,1.0,0.0,@CBS,11
12,0.0,0.0,1.0,0.0,@CBS,12
13,0.0,0.0,1.0,0.0,@CBS,13
14,0.0,0.0,1.0,0.0,@CBS,14
15,0.0,0.0,1.0,0.0,@CBS,15
16,0.8768,0.0,0.654,0.346,@CBS,16
17,-0.7184,0.24,0.76,0.0,@CBS,17
18,0.0,0.0,1.0,0.0,@CBS,18
19,-0.0772,0.238,0.583,0.179,@CBS,19
20,0.1695,0.0,0.906,0.094,@CBS,20
21,0.5499,0.0,0.849,0.151,@CBS,21
22,0.6696,0.0,0.743,0.257,@CBS,22
23,0.0,0.0,1.0,0.0,@CBS,23
24,-0.5994,0.234,0.766,0.0,@CBS,24
25,0.6077,0.0,0.841,0.159,@CBS,25
26,0.3626,0.0,0.782,0.218,@CBS,26
27,0.6696,0.0,0.71,0.29,@CBS,27
28,0.296,0.113,0.685,0.202,@CBS,28
29,0.4939,0.0,0.811,0.189,@CBS,29
30,0.0,0.0,1.0,0.0,@CBS,30
31,0.1516,0.155,0.671,0.174,@CBS,31
32,-0.25,0.17,0.697,0.133,@CBS,32
33,0.0,0.0,1.0,0.0,@CBS,33
34,0.4137,0.115,0.709,0.177,@CBS,34
35,0.128,0.114,0.746,0.139,@CBS,35
36,0.4019,0.0,0.895,0.105,@CBS,36
37,0.0,0.0,1.0,0.0,@CBS,37
38,-0.5538,0.309,0.691,0.0,@CBS,38
39,0.0,0.0,1.0,0.0,@CBS,39
40,0.0,0.0,1.0,0.0,@CBS,40
41,0.4939,0.0,0.758,0.242,@CBS,41
42,0.3612,0.0,0.839,0.161,@CBS,42
43,0.0,0.0,1.0,0.0,@CBS,43
44,0.0,0.0,1.0,0.0,@CBS,44
45,0.2225,0.0,0.895,0.105,@CBS,45
46,0.743,0.0,0.76,0.24,@CBS,46
47,0.3612,0.0,0.894,0.106,@CBS,47
48,0.4019,0.0,0.863,0.137,@CBS,48
49,0.296,0.0,0.804,0.196,@CBS,49
50,0.0,0.0,1.0,0.0,@CBS,50
51,0.3612,0.0,0.848,0.152,@CBS,51
52,0.4215,0.145,0.602,0.253,@CBS,52
53,0.7256,0.0,0.681,0.319,@CBS,53
54,0.0,0.0,1.0,0.0,@CBS,54
55,-0.7184,0.261,0.739,0.0,@CBS,55
56,-0.5209,0.219,0.781,0.0,@CBS,56
57,0.0,0.0,1.0,0.0,@CBS,57
58,0.4019,0.0,0.87,0.13,@CBS,58
59,0.0,0.0,1.0,0.0,@CBS,59
60,0.0,0.0,1.0,0.0,@CBS,60
